CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,AgeGroup,IncomeCategory,FamilySize
200000,1,41,"Self Enquiry",3,6,Salaried,Female,3,3,Deluxe,3,Single,1,1,2,1,0,Manager,20993,Middle-aged,Medium,3
200001,0,49,"Company Invited",1,14,Salaried,Male,3,4,Deluxe,4,Divorced,2,0,3,1,2,Manager,20130,Senior,Medium,5
200002,1,37,"Self Enquiry",1,8,"Free Lancer",Male,3,4,Basic,3,Single,7,1,3,0,0,Executive,17090,Middle-aged,Low,3
200003,0,33,"Company Invited",1,9,Salaried,Female,2,3,Basic,3,Divorced,2,1,5,1,1,Executive,17909,Middle-aged,Low,3
200004,0,,"Self Enquiry",1,8,"Small Business",Male,2,3,Basic,4,Divorced,1,0,5,1,0,Executive,18468,Young,Low,2
200005,0,32,"Company Invited",1,8,Salaried,Male,3,3,Basic,3,Single,1,0,5,1,1,Executive,18068,Middle-aged,Low,4
200006,0,59,"Self Enquiry",1,9,"Small Business",Female,2,2,Basic,5,Divorced,5,1,2,1,1,Executive,17670,Senior,Low,3
200007,0,30,"Self Enquiry",1,30,Salaried,Male,3,3,Basic,3,Married,2,0,2,0,1,Executive,17693,Middle-aged,Low,4
200008,0,38,"Company Invited",1,29,Salaried,Male,2,4,Standard,3,Unmarried,1,0,3,0,0,"Senior Manager",24526,Middle-aged,Medium,2
200009,0,36,"Self Enquiry",1,33,"Small Business",Male,3,3,Deluxe,3,Divorced,7,0,3,1,0,Manager,20237,Middle-aged,Medium,3
200010,0,35,"Self Enquiry",1,22,"Small Business",Male,2,2,Basic,4,Divorced,1,0,3,1,1,Executive,17426,Middle-aged,Low,3
200012,0,31,"Self Enquiry",1,32,Salaried,Male,2,3,Basic,3,Married,2,0,3,0,1,Executive,17911,Middle-aged,Low,3
200013,0,34,"Self Enquiry",1,25,"Small Business",Male,3,3,Basic,3,Married,1,0,3,0,2,Executive,17661,Middle-aged,Low,5
200014,1,28,"Self Enquiry",1,30,Salaried,Male,2,4,Basic,3,Single,6,1,2,0,0,Executive,17028,Young,Low,2
200015,0,29,"Self Enquiry",1,27,Salaried,Female,2,2,Standard,5,Married,2,0,5,1,1,"Senior Manager",24980,Young,Medium,3
200016,0,32,"Self Enquiry",1,11,Salaried,Male,3,2,Basic,4,Married,1,1,2,1,0,Executive,18298,Middle-aged,Low,3
200017,0,22,"Company Invited",1,22,"Small Business",Male,3,2,Basic,3,Married,2,1,3,0,0,Executive,17935,Young,Low,3
200018,0,53,"Self Enquiry",3,8,Salaried,Female,3,4,"Super Deluxe",3,Divorced,3,0,3,1,0,AVP,30427,Senior,Medium,3
200021,1,,"Self Enquiry",3,15,Salaried,Male,2,4,Deluxe,5,Single,1,0,2,0,0,Manager,18407,Young,Low,2
200022,0,34,"Self Enquiry",1,13,Salaried,"Fe Male",2,3,Standard,4,Unmarried,1,0,3,1,0,"Senior Manager",26994,Middle-aged,Medium,2
200023,0,21,"Self Enquiry",1,21,Salaried,Male,3,3,Basic,3,Single,2,0,3,1,1,Executive,16232,Young,Low,4
200024,1,34,"Self Enquiry",1,12,"Small Business",Male,2,3,Basic,5,Single,3,0,2,1,1,Executive,17960,Middle-aged,Low,3
